service_id,date,exception_type
70183-1111100-0,20200204,1
70183-1111100-0,20200324,1
70183-1111100-0,20200224,1
70183-1111100-0,20200225,1
70183-1111100-0,20200129,1
70183-1111100-0,20200128,1
70183-1111100-0,20200220,1
70183-1111100-0,20200221,1
70183-1111100-0,20200406,1
70183-1111100-0,20200403,1
70183-1111100-0,20200228,1
70183-1111100-0,20200227,1
70183-1111100-0,20200205,1
70183-1111100-0,20200410,1
70183-1111100-0,20200310,1
70183-1111100-0,20200311,1
70183-1111100-0,20200312,1
70183-1111100-0,20200313,1
70183-1111100-0,20200219,1
70183-1111100-0,20200218,1
70183-1111100-0,20200330,1
70183-1111100-0,20200317,1
70183-1111100-0,20200318,1
70183-1111100-0,20200127,1
70183-1111100-0,20200331,1
70183-1111100-0,20200211,1
70183-1111100-0,20200210,1
70183-1111100-0,20200213,1
70183-1111100-0,20200212,1
70183-1111100-0,20200402,1
70183-1111100-0,20200316,1
70183-1111100-0,20200214,1
70183-1111100-0,20200130,1
70183-1111100-0,20200131,1
70183-1111100-0,20200319,1
70184-1111100-0,20200226,1
70184-1111100-0,20200408,1
70184-1111100-0,20200409,1
70184-1111100-0,20200320,1
70184-1111100-0,20200323,1
70184-1111100-0,20200407,1
70184-1111100-0,20200325,1
70184-1111100-0,20200401,1
70184-1111100-0,20200327,1
70184-1111100-0,20200326,1
70184-1111100-0,20200303,1
70184-1111100-0,20200302,1
70184-1111100-0,20200306,1
70184-1111100-0,20200305,1
70184-1111100-0,20200304,1
70184-1111100-0,20200203,1
70184-1111100-0,20200309,1
70184-1111100-0,20200206,1
70184-1111100-0,20200207,1
70184-1111100-0,20200204,1
70184-1111100-0,20200324,1
70184-1111100-0,20200224,1
70184-1111100-0,20200225,1
70184-1111100-0,20200129,1
70184-1111100-0,20200128,1
70184-1111100-0,20200220,1
70184-1111100-0,20200221,1
70184-1111100-0,20200406,1
70184-1111100-0,20200403,1
70184-1111100-0,20200228,1
70184-1111100-0,20200227,1
70184-1111100-0,20200205,1
70184-1111100-0,20200410,1
70184-1111100-0,20200310,1
70184-1111100-0,20200311,1
70184-1111100-0,20200312,1
70184-1111100-0,20200313,1
70184-1111100-0,20200219,1
70184-1111100-0,20200218,1
70184-1111100-0,20200330,1
70184-1111100-0,20200317,1
70184-1111100-0,20200318,1
70184-1111100-0,20200127,1
70184-1111100-0,20200331,1
70184-1111100-0,20200211,1
70184-1111100-0,20200210,1
70184-1111100-0,20200213,1
70184-1111100-0,20200212,1
70184-1111100-0,20200402,1
70184-1111100-0,20200316,1
70184-1111100-0,20200214,1
70184-1111100-0,20200130,1
70184-1111100-0,20200131,1
70184-1111100-0,20200319,1
70490-0000001-0,20200503,1
70490-0000001-0,20200607,1
70490-0000001-0,20200412,1
70490-0000001-0,20200510,1
70490-0000001-0,20200426,1
70490-0000001-0,20200517,1
70490-0000001-0,20200419,1
70490-0000001-0,20200621,1
70490-0000001-0,20200525,1
70490-0000001-0,20200524,1
70490-0000001-0,20200531,1
70490-0000001-0,20200614,1
7020527-1111100-27,20200226,1
7020527-1111100-27,20200303,1
7020527-1111100-27,20200302,1
7020527-1111100-27,20200306,1
7020527-1111100-27,20200305,1
7020527-1111100-27,20200304,1
